评论标题,评分,评论人,评论时间,产品属性,是否verified purchase,评论内容，多少人点赞
I love this trainer,5,Amazon Customer,April/8/2017,Style:Trainer,有,I love this trainer. A few months ago I took stock of where I was heading physically and did not like what I saw.  Pulled out my Trek 720 hybrid. I like to ride but it's not always a practical thing to be doing when you live in Northern Maine. This trainer is very easy to set up and use. No need to read the instructions really. Spoke to a friend of mine about setting it up. She said and was right to not use the included skewer. My bike locked right in with no issues at all. Having to get off of the bike to adjust the resistance is not that big of a deal. This thing is also quiet. Mechanical things make noise and this one does also. when riding I have no problem hearing my cell phone thats mounted on the bike. i typically ride 4 times a week for about an hour each time. Some weeks I ride on more days. It might not seem like much to many riders but for me it's awesome. This trainer allows me to push myself and yet enjoy exercising at the same time. For this price it's definitely a bargain. Thank you.,4
easy to use,5,Trehx,April/6/2017,Style:Trainer,否,i have had this trainer for over 4 years now.  I havee used it to train for three Ironmen and 4 1/2 Ironmen.  It is very reliable easy to use easily put bike on and off and has been extremely reliable.  I often ride on the trainer for 3+ hours and it never fails.  I would stronly recommend the Cycleops Fluid2 for both experienced and new riders.  If your looking for a great product at a great price shop no further.  Big Big fan!!,2
Nice But Has Some Cons Too,4,M,January/25/2017,Style:Trainer,否,+ Very smooth resistance+ Sturdy construction+ Low noise+ Easy bike clip-in- Axle length adjustment falls into biggest hole if bike is raised up and then lowered- Max resistance is enough while seated but not enough for training out of saddle pedaling- Back wheel is much lower than front wheel when supplied raiser block is used (and many others)- Paint finish could be better- Gets really hot so may be a problem if you've kids and pets,2
Great trainer,5,Medicguy,April/8/2015,Style:Trainer,有,This has been a great purchase.  We were looking for a nice trainer that would be quick and easy to use. The fluid2 feels just like the road and it's the quietest trainer I've ever heard. It has a progressive feel when you ride and gives the right amount of resistance in any gear.  It was really easy to setup and the instructions were easy to follow. We have ours on a concrete basement floor and it's very sturdy when riding.  I don't know how much putting it on carpet would effect it.  The setup comes with a skewer that can be used on the road as well as the trainer.  I recommend buying a riser block for the front wheel though.  The only negative is the price but I think it's worth the extra money.  I highly recommend it.,4
Great basic fluid trainer,5,Robert J. Mrozek,April/5/2017,Style:Trainer,否,Bought in 2010 for training through the frigid MN winters. In early 2013 I noticed the resistance started to fade and a squeak began emanating from the roller area. Called CycleOps customer service and was told to send the resistance unit in for repair and received a new unit within the week. Great product and best customer service in business.,One
Bad Unit,2,J. Myers,February/1/2016,Style:Trainer,否,The unit arrived and I noticed some of the boxes inside looked to have been opened and retaped.  So I suspect it had been returned red flag.  When I put the unit together the yellow knob (the clutch) would not pull the unit tight up against the tire it was striped.  I left a message on the factory phone listed in the instructions.  The woman was very nice and said they would send me new parts.  However she said it would take a week and they would not overnight it to me.  So I can get a whole new unit via Prime in two days but it takes a week to get a couple of small parts....  Maybe I should just order an entire new unit and return the defective one.  I asked the rep if that part was a weakness in their product and she hesitated and carefully said "it happens and it is something that gets used a lot and will wear but we sell new ones."  I am wondering if I bought the wrong brand?,3
Well made,5,Marcene Mitchell,September/12/2017,Style:Trainer,有,It's doing great and there is not a lot of noice.,One
For a full size bike works great...,3,Ohioan,February/12/2016,Style:Trainer,有,Works nicely for my full size bike.  It requires an additional adapter however to handle 22" wheels.  And the adapter is not a quick on and off.  I've had this unit for a while now so am keeping but am looking into a similar unit of a different brand that handles different wheel sizes from the get go. But that's more money I'd rather not have had to spend.For a full size bike works great.,3
Easy to set up with smooth resistance,5,Dixie Brillhart,January/19/2017,Style:Trainer,有,This was exactly what I was expecting it to be.  Easy to set up with  smooth resistance all in a very stable platform.  I really enjoy the ability to stay in condition indoors when the outdoor conditions are prohibitive.,2
Great product but would be even better with a way to adjust it from the bike.,4,Pete F,January/26/2016,Style:Trainer,有,I researched several review sites and this was listed as the best value.  I have to agree It is like riding on the road.  The only remotely negative comment I have is that if this is quiet I would hate to hear the other trainers.  There is a hum for all to hear.,5
... a little noisier than when we tested one just like it at the bike shop,4,Dennis L. Weaver,August/24/2016,Style:Trainer,有,No issues yet except a little noisier than when we tested one just like it at the bike shop.  But is works.,3
Great trainer. Best one in it's class.,5,TravelingDentist,April/8/2017,Style:Trainer,否,I love the trainer.Super stable.Very easy to setup. The large yellow knob will click once the wheel the tension is correct.The flywheel keeps the trainer running really smooth.It is also very quiet. If you're looking for a trainer then this should be at the top of the list.,0
You won't regret it,5,Amazon Customer,April/4/2017,Style:Trainer,否,I bought my Fluid 2 trainer 4-5 months ago and I've never had any regrets. I love it. I use it almost daily for all kinds of workouts. Sprint intervals tempo rides and cool downs. Anything in between. It is the best when it rains and you have no other option. Or if you want to catch up on some TV shows. Knock out two birds with one stone. They sell everything you need.. one stop shop. They are willing and ready to assist. You can't go wrong. 10/10 would recommend.,0
Fantastic indoor ride,5,Tim K,April/5/2017,Style:Trainer,否,I've been using this trainer for a while now. Gives me a great workout.  I am very happy with it it is pretty quiet with my road bike. There is great customer service with this company.  I couldn't be happier with this trainer.  Very easy to get your bike in and out of this trainer was one thing that drove me to this trainer. Their virtual trainer is pretty cool.,0
We didn't want to have a noise complaint and so far so good.,5,Amazon Customer,January/16/2015,Style:Trainer,否,Definitely quiet enough for our apartment. We didn't want to have a noise complaint and so far so good.,5
Five Stars,5,Smart shopper 444,May/20/2017,Style:Trainer,有,my husband loves this.,One
Durable and Easy to Use,5,E. Arentsen,June/14/2016,Style:Trainer,否,Exceptionally functional and easy to use.  I've had mine for a couple of years and have put more than 100 hours on it and it's held up wonderfully.  I typically use it when time or weather make riding on the road impractical or as a warm up tool prior to a race.  Mounting a bike is very quick and easy and I do not hesitate to swap bikes out of the trainer.  Resistance is controlled at a fairly gross level by shifting gears and changing cadence.  The trainer can handle sprints over 800 watts and sustained effort over 300 watts without trouble.  The unit is quiet especially compared to trainers I previously owned.  My one gripe with the unit is that as the fluid heats up during longer or harder workouts it seems to get more viscous.  I am able to quantify this with a power meter.  This means you may need to shift down a gear or two over time.  Whether you buy this trainer or another you will want to make sure you have a way to raise the front wheel so the bike is level once it's in the trainer.  I have nearly 2000 miles on the rear tire on my normal "trainer" bike and there is no noticeable wear.  I had been concerned about the potential for excessive tire wear and I'm happy to see none.,One
Excellent trainer,5,David C. Feliciano,March/19/2014,Style:Trainer,否,I got this as a gift and I'm thrilled with it. First things first it's a trainer its going to be boring you can't compare that to an outdoor ride. That being said the resistance is excellent. Using this during the weekdays has made me a better cyclist faster than when I was just training outdoors. It's definitely helped me get stronger. Great for interval training. If you're going to have more than one rider I'd suggest purchasing an extra skewer to save you the hassle of going back and forth with the one included.,2
Exactly what I was hoping for; hard to assemble imo,4,Ilya N.,March/17/2017,Style:Trainer,否,This trainer was exactly what I wanted for training during the rainy season! This lets me ride while indoors and continue to stay in biking shape.Putting it together was a bit frustrating. There were two or three steps that watching the video you'd think would be super easy and the part would go right in but I had to break out the hammer to really get them to go where they were supposed to. Fortunately that was only a one-time thing!Obviously this doesn't come with whatever smart features but I could do without those. Noise level is quite manageable -- I can easily watch TV while biking and I'm not super worried about bugging the neighbors.,0
This bike stand really is smooth and quiet. We ...,5,Sara L. Suda,February/26/2017,Style:Trainer,有,This bike stand really is smooth and quiet.  We have had cheaper ones in the past this is worth the money.,One
Simple and efficient trainer,5,Vince,April/4/2017,Style:Trainer,否,I've been using the cycleOps fluid2 for over 4 years now it's very eazy to use simple to setup and get the job done. It feel very smooth it is great for to get work done when the weather isn't cooperating !,0
A must Have item for your training,5,Amazon Customer,April/5/2017,Style:Trainer,否,I bought this a few months ago and it has significantly increased my on-the-road biking ability.  Its very stable and is perfect for indoor training.  Plus it doesnt have too much noise so I can enjoy a nice movie while biking.  GET THIS,0
It's like clipping in for a long trip without having to remember to bring your wallet!,5,Brian Seipel,April/5/2017,Style:Trainer,否,Saris you have hit a home run with this product! Compared to my expensive stationary cycle this is waaaaaay better. Now I get to use my own bike manage the gears changing stand up coast...just like I'm on the open road! Thank you!,0
Love this trainer,5,Alex,December/17/2014,Style:Trainer,否,Love this trainer. It's quite tough and easy to use. I've had it for a few years now and have nothing to complain about.,One
We love this product,5,Amazon Customer,December/3/2017,Style:Trainer,有,Works perfectly. Minor assembly required. Buy a cadence/rpm/heart rate monitor and a subscription to Zwift and start training indoors. We love this product!,One
bicycle trainer,5,Richard Ronk,January/1/2014,Style:Trainer,有,pretty easy assembly. relatively quiet. very smooth riding. very satisfied so far with performance. would recommend it for indoor off season training.,4
Top shelf product made by a quality company.,5,Chris Z,March/9/2017,Style:Trainer,否,Easy setup and rides great.,0
Fantastic trainer,5,Rick V.,April/5/2017,Style:Trainer,否,Great product. Well built and easy to set up and use. My first indoor trainer and absolutely love it!,0
after few months of experience,4,YGal,April/4/2017,Style:Trainer,否,The old say - "It is not the product it is me".I purchased this unit few month ago convincing myself that summer is coming and while it is gonna be too hot I will use this trainer in my living room in front of the TV and do my exercise.Of course - I didn't - just a matter of laziness.Winter came and now I forced myself to use it - It was really great experience. Unit is working flawless and you find the right exercises (YouTube / cycleops) - you don't even feel how the time pass (I will admit - I never use it more than an hour - but I assume I could extend it to a longer time.I'm using the Garmin 705 on my bike with the full set of accessories  - so at the end of the practice I have a full statistic of the distance the speed  Cadence sensor and HR measurement.Unit is working great and I would give it 5 stars - but gave it only 4 as a result of :1. You have to be strong and really force yourself to ride at home - many of my friends bought it and almost never use it - so think twice before spending the money .2. Better to have it with rear wheel speedometer (Garmin Edge 705 - worked great for me) as it give you the right statistic and motivation3. Use it in front of big screen and picked the right show to watch - if not it is really boring4. Keep your old tires - better to use them and not your good one .And now when the spring come - hope to see the results riding outside  - Safe ride !!!,0
It should list that it comes with a trainer skewer ...,3,Amazon Customer,December/28/2017,Style:Trainer,有,It should list that it comes with a trainer skewer.  As a result of this not being listed I bought a skewer and ended up with one I didn't need.,0
Great trainer gift,5,Zain,January/5/2017,Style:Trainer,有,This was a gift and the recipient was very happy with how quiet it is and the ease of set up.,2
The Trainer Works Well,5,Saeed M,November/11/2014,Style:Trainer,否,I am new to trainers so I can't compare to much else but my experience with this machine has been flawless.  It does very much feel like riding out on a regular road surface and the assembly was straight forward and easy.,2
Five Stars,5,hjd,March/1/2016,Style:Trainer,有,Excellent bike trainer....,0
Five Stars,5,j,February/8/2016,Style:Trainer,有,excellent bike trainer!,0
Works great!,5,LLC,September/26/2016,Style:Trainer,有,Awesome,0
Five Stars,5,Sisu145,January/31/2016,Style:Trainer,有,Works great! Good price and fast shipping. Wife loves it.,0
Five Stars,5,DAVID SIMONI,February/27/2016,Style:Trainer,有,This bike trainer is really great.  It set up easy and provides a worthwhile workout.,0
Awesome,5,GREGG,December/14/2017,Style:Trainer,有,as described. easy to assemble,0
Basic affordable solution,2,S.Welch,April/6/2017,Style:Trainer,否,This is a well built trainer that is easy to set up.  It's not the most aggressive ride the resistance is not adjustable this would not be a trainer that you can grow into as your level of fitness increases.  It gets the job done for an indoor ride with few bells and whistles.,One
Easy setup and works fine so far,5,Doug,December/12/2017,Style:Trainer,有,Item arrived on time.  Easy setup and works fine so far.,0
Five Stars,5,cmt,August/8/2016,Style:Trainer,有,Great item shipped fast.,0
Not Ideal for 29-inch wheels,2,Jenn,December/29/2015,Style:Trainer,否,I tried this out on my Specialized Hardrock 29er and wound up returning it. While technically it fits the tire still rubs on the tile floor. And when you use this (or any other trainer) with a mountain bike - even with hybrid wheels - trainers are LOUD. I mean LOUD. Forget watching TV while on this. You would need high quality full-coverage headphones blasting heavy metal to counteract the noise. If that's your kind of biking then this trainer is perfect for you. Me? Not so much.,One
Five Stars,5,Haraldur,February/29/2016,Style:Trainer,有,Works lik a charm.,0
Five Stars,5,Mike S.,January/17/2017,Style:Trainer,有,So far so good fantastic bike trainer!,0
I wasn't happy with it because it felt nothing like a stationary ...,1,Carolyn Sue Zallar,April/2/2016,Style:Trainer,有,I wasn't happy with it because it felt nothing like a stationary bike from the gym it forced me to slope forward and it was incredibly loud.,2
Very POOR Instructions,1,Amzn Cust Ace,January/3/2015,Style:Trainer,有,Assembly instructions poorly written - middle school student's could write much better instructions.  After spending this kind of money on a professional item it's not worth it to fight to figure out how to assemble the unit and install a bike to it.,2
Get the roller trainer instead and use the gears to adjust the resistance,2,Champ Tech,June/5/2017,Style:Trainer,否,Admitting I don't own one but I'm an old school cyclist who spent hundreds and hundreds of hours on the roller trainer and this trainer is more like for sissy cyclists (sorry if i's offending some of you). The roller trainers teach you how to ride in a straight line so it becomes as a second nature (of course after spending many many hours on the roller trainer). So now I can easily ride my bike on the roller trainer and not holding the handle bar and of course not keeping the trainer in the door way. Sure I don't keep it on the middle of the gym these days as we had to back than when I was on the pro team.,0
